Row Labels,Average of lat,Average of lon,Sum of Valuation,Sum of Fee Amount,Size
1209 Glencove Rd S,-76.09673546,43.06432421,0,0,0
1209 Stolp Ave,-76.18237986,43.02952319,0,52,0
121 Rugby Rd To Teall Ave,-76.1228868,43.06757941,0,25,0
121-23 Lilac St,-76.1517462,43.06312314,0,0,0
1213-1/2 Madison St,-76.1280773,43.04557643,0,0,0
1214 Spring St,-76.15783964,43.07143119,0,25,0
1217-19 Midland Ave,-76.15190007,43.02698592,0,287.5,0
1218 Wadsworth St,-76.14669805,43.08295389,0,0,0
122 Cannon St,-76.14813156,43.0242293,0,25,0
122 Hastings Pl,-76.11850766,43.0664736,0,0,0
122 Rigi Ave,-76.10413945,43.06966144,0,25,0
1222 Westmoreland Ave,-76.11450383,43.02982947,0,25,0
122-24 Shotwell Pk,-76.11642737,43.0668983,0,0,0
1224 Glencove Rd N,-76.09616676,43.06468093,0,0,0
1225 Cumberland Ave & Colvin S,-76.11211343,43.02254702,0,25,0
1229 Glencove Rd S,-76.09598861,43.06435938,0,0,0
123 Shotwell Pk,-76.11531284,43.06705281,0,0,0
124 Oakdale Dr,-76.1569232,43.00724508,0,25,0
124 Plum St,-76.16033899,43.05168222,0,25,0
124 Wadsworth St,-76.13891495,43.06992786,0,60,0
1241 Genesee St W & Sackett St,-76.17732394,43.05273874,0,62,0
125 Hoefler St,-76.17978091,43.03725111,0,0,0
125 Shotwell Pk,-76.11530047,43.06691592,0,0,0
126 Rigi Ave,-76.10414623,43.06977907,0,25,0
1262 Comstock Ave R 109 Xavier,-76.13129717,43.01993069,0,0,0
128 Hertford St,-76.12418522,43.02866529,0,0,0
128-30 Mosley Dr,-76.10188438,43.06808357,0,0,0
129 Hancock Dr,-76.17857956,43.02467768,0,0,0
130 Geddes St N,-76.17064496,43.04962067,0,25,0
1307 Grant Blvd,-76.13514194,43.07215499,0,25,0
1309 Adams St E & Ostrom Ave,-76.12935331,43.04281409,0,0,0
131 Brampton Rd,-76.14291759,42.99261932,0,25,0
131 Shotwell Pk,-76.1152881,43.06677903,0,0,0
1313 Grant Blvd,-76.13542358,43.07214127,0,25,0
132 Martin St,-76.14821481,43.0787838,0,0,0
132 Winthrop Rd,-76.09878499,43.06535414,0,0,0
1323 Salina St N & Turtle St &,-76.16084305,43.06767044,0,0,0
134 Burns Ave,-76.09265455,43.06787294,0,25,0
134 Clarke St,-76.11791419,43.03865,0,0,0
134 Walton St,-76.15534724,43.04813279,0,198,0
134-36 Genesee St E,-76.15156545,43.04992098,0,100,0
135 Hancock Dr,-76.17825519,43.02418016,0,0,0
135 Harold St,-76.14152925,43.07505261,0,0,0
135 Maplewood Ave,-76.14287881,42.98834935,0,25,0
135 Midler Ave N,-76.10610593,43.06986191,0,0,0
135 Shotwell Pk,-76.11527573,43.06664214,0,0,0
136 Edwards Ave S,-76.10697537,43.06762969,0,25,0
137 Hancock Dr,-76.17815527,43.02402661,0,0,0
137 Hood Ave,-76.14426076,43.07344134,0,0,0
137 Melbourne Ave,-76.09639703,43.04973501,0,25,0
137 Worden Ave,-76.14084055,43.07327006,0,50,0
138 Shotwell Pk,-76.11639324,43.0664875,0,25,0
139 Academy Pl & Normanor Dr,-76.15162967,42.9958763,0,0,0
139 Edwards Ave N,-76.10717667,43.06992152,0,25,0
139 Maplehurst Ave,-76.13843773,43.07855659,0,25,0
140 Genesee Pk Dr,-76.11020533,43.04963068,0,0,0
1408 First North St,-76.15959727,43.07390347,0,50,0
141 Bellevue Ave,-76.15730804,43.0332795,0,25,0
141 Hancock Dr,-76.1780568,43.02387556,0,0,0
143 Shotwell Pk,-76.11523861,43.06623147,0,0,0
143 Vieau Dr,-76.18498204,43.03030482,0,0,0
144 Fiscoe Ave,-76.14605835,42.99288672,0,25,0
144 Mosley Dr,-76.10185159,43.0676727,0,0,0
1440-48 Salina St S & Furman St,-76.14908151,43.03194544,0,0,0
145-47 Midler Ave N,-76.10612491,43.07019095,0,0,0
146 Malverne Dr,-76.14282467,43.0790439,0,25,0
147 Hughes Pl,-76.13330927,43.02409372,0,0,0
147 Walrath Rd & Churchill Av,-76.14053829,43.01118256,0,0,0
148 Edwards Ave S,-76.10695471,43.06730076,0,0,0
1480-82 State St S,-76.14668263,43.03111483,0,25,0
149-51 Hobart Ave,-76.13946943,43.01290952,0,25,0
150 Palmer Ave,-76.163129,43.03405443,0,60,0
150 Seeley Ave,-76.14518159,43.00225302,0,40,0
1501 Bellevue Ave & Markland A,-76.18019776,43.03240016,0,0,0
1503-05 Bellevue Ave,-76.18035817,43.03233395,0,0,0
1504 James St,-76.12661901,43.0627462,0,25,0
1506-08 Midland Ave & Colvin St W,-76.15143654,43.02390229,0,0,0
1506-08 Onondaga St W,-76.17902613,43.03403642,0,0,0
1507 State St N,-76.15939627,43.06526016,0,0,0
1509 Lodi St,-76.14966919,43.06083081,0,0,0
1509 State St N,-76.15948368,43.06533846,0,0,0
151 Burns Ave,-76.09188035,43.06746947,0,25,0
151 Didama St,-76.1065124,43.04688397,0,25,0
151 Fayette Blvd,-76.10196545,43.04920216,0,25,0
151 Milford Dr E,-76.09604359,43.06778395,0,25,0
1512 James St & Wilson St,-76.12638374,43.06295224,0,25,0
152 Hancock Dr To Glenwood Av,-76.17815252,43.02259685,0,0,0
152 Harding Pl,-76.14202451,42.99312526,0,0,0
152 Midler Ave S,-76.10571264,43.06724921,0,0,0
1520 Genesee St W,-76.18531824,43.05253768,0,0,0
1524-26 Teall Ave,-76.12302087,43.06965694,0,100,0
152-54 Kenmore Ave,-76.15276218,43.01563183,0,25,0
1529 Lancaster Ave,-76.12172017,43.02367259,0,25,0
153 Erickson St,-76.09622136,43.06260337,0,0,0
154 Oakley Dr,-76.14212935,42.98678499,0,0,0
154 Shotwell Pk,-76.11634773,43.06593975,0,25,0
155 Delray Ave,-76.1018851,43.05000389,0,25,0
155 Hancock Dr,-76.17740221,43.02287317,0,25,0
155 Midler Ave N,-76.10613755,43.07041031,0,0,0
155 Shotwell Pk,-76.11521387,43.0659577,0,0,0
157 Niven St,-76.1062205,43.04778584,0,52,0
158-60 Shotwell Pk,-76.11632498,43.06566588,0,0,0
159 Culbert St,-76.15000198,43.07289291,0,0,0
159 Miles Ave,-76.11616554,43.03389727,0,25,0
160 Clarke St & Allen St,-76.1170932,43.03878584,0,0,0
160 Collingwood Ave S,-76.10813947,43.06691513,0,25,0
160 Plymouth Dr,-76.10064699,43.06725229,0,25,0
160 Woodbine Ave,-76.11062138,43.06679827,0,25,0
1606 Colvin St W,-76.16341242,43.02319758,0,560,0
162 Parkway Dr,-76.16236552,43.02460238,0,52,0
1620 Fayette St W,-76.18226105,43.05088248,0,25,0
1623 Teall Ave,-76.12378076,43.07090968,0,25,0
1634 Caleb Ave & Cloveridge Dr,-76.09328527,43.06234143,0,25,0
164 Fiscoe Ave,-76.14671121,42.99285723,0,0,0
165 Homecroft Rd,-76.10235015,43.06710764,0,25,0
165 Shotwell Pk,-76.11517738,43.06555387,0,0,0
166 Maplehurst Ave,-76.1386739,43.07932882,0,25,0
166 Sherwood Ave,-76.12462044,43.05498761,0,25,0
166 Shotwell Pk,-76.11630222,43.06539201,0,0,0
167 Beverly Rd,-76.16749756,43.02850771,0,25,0
167 Maplehurst Ave,-76.1391957,43.07908713,0,25,0
169-171 Mosley Dr,-76.10107797,43.06701621,0,0,0
1700 Court St & Loma Ave,-76.14464771,43.07910294,0,25,0
1703 Euclid Ave,-76.10641298,43.03514303,0,52,0
174 Shotwell Pk,-76.11627947,43.06511814,0,25,0
1742 Onondaga St W To Velasko,-76.18486136,43.03537224,0,0,0
174-76 Seneca Tnpk W & Midland A,-76.14675389,43.00183097,0,0,0
175 Fayette Blvd,-76.10123019,43.04923925,0,0,0
175 Homecroft Rd,-76.10232917,43.06684468,0,25,0
175 Kuhl Ave,-76.1455177,43.07812135,0,0,0
177 Collingwood Ave S,-76.10737647,43.06653851,0,25,0
178-80 Shotwell Pk,-76.11626809,43.06498121,0,25,0
180 Edwards Ave S & Northclif,-76.10687505,43.06642467,0,0,0
180 Midler Ave S & Northcliff,-76.10564341,43.06648264,0,0,0
1801 Butternut St & Dale St,-76.14320752,43.07546469,0,25,0
1801 Grant Blvd,-76.14054034,43.07190269,0,0,0
1802 James St & Hixson Ave,-76.12153755,43.0652773,0,25,0
1806-08 Bellevue Ave,-76.18325102,43.03273451,0,70,0
1810 James St,-76.12133615,43.06537598,0,25,0
1840 James St,-76.119692,43.065337,0,0,0
1849-51 Grant Blvd,-76.14143415,43.07185664,0,50,0
185 Bissell St E,-76.15699493,43.02441956,0,52,0
185 Reed Ave,-76.18164958,43.0301337,0,0,0
190 Fiscoe Ave,-76.14773712,42.99281088,0,25,0
190 Hood Ave,-76.14561896,43.07504077,0,25,0
1902 South Ave & Brighton Ave,-76.16144382,43.01919507,0,0,0
1929 Valley Dr,-76.15273696,42.99677991,0,0,0
200 Arch St & Caleb Ave,-76.10011,43.06089989,0,0,0
200 Genesee St E & Warren St,-76.15083429,43.04967997,0,0,0
200 Gifford St & Granger St &,-76.15669171,43.04374333,0,71,0
200 Hickok Ave,-76.11465085,43.06584858,0,0,0
200 Midler Ave S & Northcliff,-76.10561743,43.06619242,0,0,0
200 Milford Dr E & Northcliff,-76.09662737,43.06714962,0,25,0
200-02 Collingwood Ave S & North,-76.10808125,43.06607651,0,25,0
200-02 Water St W & Clinton St S,-76.15345,43.050497,0,0,0
200-08 Shonnard St,-76.16109128,43.04172139,0,81,0
200-08 Wendell Terr & Rugby Rd,-76.12967227,43.06758408,0,0,0
200-14 Salina St S & Washington,-76.153049,43.049326,0,0,0
201 Coleridge Ave,-76.18123386,43.04179111,0,0,0
201 Hillside St & Kuhl Ave,-76.14329682,43.07711705,0,0,0
201 Salina St S & Washington,-76.151852,43.049377,0,0,0
201 Weymouth Rd & Coldbrook D,-76.14032799,42.99639627,0,185,0
201-03 Glenwood Ave & Craddock S,-76.16328292,43.01932807,0,25,0
201-03 Hickok Ave & Northcliff R,-76.11381082,43.06579162,0,0,0
201-5 1/2 Grace St & Massena St,-76.16654255,43.03803107,0,77,0
2016-24 Fayette St E & Ellis St,-76.11432101,43.04788584,0,0,0
2017 Burnet Ave,-76.10753604,43.05813041,0,25,0
202 Elsner St,-76.13763921,43.06810699,0,25,0
203 Hancock Dr,-76.17687419,43.02193892,0,0,0
203 Hastings Pl,-76.11768582,43.06387551,0,25,0
203 Sabine St,-76.1674188,43.03866879,0,0,0
203 Water St E & Warren St S,-76.15095445,43.05062823,0,0,0
203 Westminster Ave & Marylan,-76.11991369,43.0330096,0,0,0
2035 Genesee St E,-76.11864289,43.04612531,0,0,0
204 Glen Ave W,-76.14670974,43.00560523,0,25,0
204 Loma Ave,-76.1451705,43.0798477,0,0,0
204 Water St W To Erie Blvd W,-76.15422031,43.05066113,0,1475.26,0
204-06 Water St W To Erie Blvd W,-76.153946,43.050719,0,0,0
2043 Erie Blvd E To Nyc Rr,-76.11417035,43.05237073,0,25,0
205 Pattison St,-76.12715027,43.05912984,0,25,0
205 Schuyler St,-76.182641,43.050392,0,0,0
205-13 Salina St S To Bank Alley,-76.151895,43.049374,0,0,0
206 Alvord St S,-76.14354873,43.06117135,0,25,0
206 Corning Ave W,-76.14661683,43.01856485,0,0,0
206 Milford Dr E,-76.09666608,43.06702447,0,0,0
207-09 Hickok Ave,-76.1137982,43.06565199,0,0,0
207-33 Water St E To Erie Blvd E,-76.1506452,43.05062472,0,0,0
208 Crawford Ave,-76.11103858,43.04030765,0,25,0
208 Water St W To Erie Blvd W,-76.15508572,43.05067091,0,250,0
209 Hurlburt Rd,-76.10065611,43.0408035,0,0,0
209 Mosley Dr,-76.10100785,43.06613738,0,25,0
209 Shuart Ave To Dorothy St,-76.12829694,43.06075848,0,0,0
209 Wellesley Rd,-76.16917388,43.02046632,0,0,0
210 Wendell Terr & Kline St,-76.12981222,43.06793447,0,0,0
2102-04 Salina St S & Wood Ave,-76.14624391,43.0258513,0,0,0
211 Onondaga Ave,-76.16469469,43.03231358,0,25,0
211 Shotwell Pk,-76.11504069,43.06404124,0,25,0
212 Monticello Dr N,-76.13874725,43.00240882,0,52,0
2120 Colvin St E & Cumberland,-76.11261864,43.02201252,0,25,0
2131 James St & Mildred Ave,-76.11741251,43.06802038,0,123,0
2145 Geddes St S,-76.17454489,43.02241778,0,0,0
215 Highland Ave,-76.13692686,43.06081492,0,0,0
215-17 Bryant Ave,-76.18142111,43.04617698,0,25,0
216 Lowell Ave N,-76.182959,43.049766,0,0,0
217 Kennedy St W,-76.15070854,43.02953161,0,0,0
217-19 Warner Ave,-76.14635354,43.02205748,0,0,0
218 Jefferson St W To Walton,-76.154745,43.047674,0,50,0
218 Kline St & Durston Ave,-76.12795794,43.0680826,0,0,0
221 Haddon Rd & Lockwood Rd,-76.09018819,43.03850344,0,25,0
221 Milford Dr E & Roxbury Rd,-76.09626774,43.06663921,0,0,0
221 Shotwell Pk,-76.11501595,43.06376747,0,0,0
221 Winthrop Rd,-76.09659827,43.06592455,0,25,0
221-23 Clinton St N,-76.15401109,43.05193665,0,100,0
221-23 Cloveridge Dr,-76.09302016,43.06624419,0,0,0
222 Putnam St,-76.17126204,43.03623271,0,0,0
223 Marcellus St & Niagara St,-76.16203454,43.04676707,0,0,0
224 Cleveland Ave,-76.14509335,43.07029586,0,0,0
225 Gordon Ave,-76.17317915,43.02871005,0,25,0
225 Kellogg St,-76.16485361,43.03804262,0,25,0
226 Pleasant Ave W,-76.146991,43.01686407,0,0,0
226 Winthrop Rd,-76.09628123,43.06547209,0,25,0
228 Arnold Ave,-76.12632427,43.01763463,0,170,0
228 Hier Ave,-76.14071345,43.06541288,0,3625,0
228 Sedgwick St,-76.12859609,43.05802702,0,0,0
228 Shonnard St,-76.16265354,43.04164817,0,60,0
228 Stolp Ave & Clairemont Av,-76.16933275,43.03061344,0,25,0
228 Tallman St,-76.152179,43.036597,0,0,0
229 Cloveridge Dr,-76.09300277,43.06602494,0,0,0
229 Shotwell Pk,-76.11500049,43.06359635,0,0,0
230 Scott Ave,-76.10924238,43.03948083,0,50,0
2300-08 Lodi St & Danforth St,-76.15891364,43.06595893,0,0,0
2308 Grant Blvd & Mcchesney Pk,-76.14654194,43.07422654,0,0,0
231 Seneca Tnpk E,-76.13953438,43.00073794,0,25,0
2317 Burnet Ave & Nichols Ave,-76.10399493,43.059045,0,0,0
2319 Salina St S,-76.144419,43.024421,0,0,0
232 Nichols Ave,-76.10431861,43.06537371,0,0,0
2320 Grant Blvd,-76.14713696,43.07367286,0,0,0
2321 State St S,-76.14185616,43.02267234,0,25,0
2326-28 Salina St S,-76.14538827,43.02411964,0,0,0
233 Belle Ave,-76.14690409,43.01106506,0,64,0
233 Dewitt St & Park St,-76.13405052,43.06274294,0,25,0
233 Hillsdale Ave,-76.10849468,43.06517723,0,0,0
233 Lorraine Ave,-76.13219285,43.02311302,0,52,0
233 Washington St E & Montgom,-76.14943574,43.04993778,0,25750,0
233-35 Forest Hill Dr,-76.11098291,43.06506011,0,25,0
238 Roxbury Rd,-76.09602685,43.06628139,0,0,0
240 Dale St,-76.14499553,43.07721526,0,0,0
2410-2420 Salina St S To Webster Av,-76.14525837,43.02340792,0,0,0
2413 Lodi St,-76.16118358,43.06618765,0,25,0
241-45 Cloveridge Dr,-76.09297234,43.06564126,0,25,0
243 Shotwell Pk,-76.11495411,43.06308302,0,0,0
244 Shotwell Pk,-76.11608947,43.06282273,0,0,0
244-300 Moore Ave,-76.1380909,43.02234017,0,0,0
244-46 Stafford Ave,-76.11315077,43.06462808,0,50,0
244-46 Woodbine Ave,-76.11043629,43.06475591,0,25,0
245-247 Nichols Ave,-76.10356932,43.065079,0,25,0
247 Chaffee Ave,-76.15879912,42.99715417,0,0,0
247 Shotwell Pk,-76.11492937,43.06280924,0,25,0
248 Shotwell Pk,-76.11607809,43.0626858,0,0,0
249 Homecroft Rd,-76.10217508,43.06491398,0,25,0
249 Lincoln Ave,-76.15689908,43.03389803,0,0,0
249-51 Stafford Ave,-76.11233133,43.0645567,0,25,0
250 Roxbury Rd,-76.09557871,43.0663025,0,0,0
2500 James St & Forest Hill Dr,-76.11145296,43.06824792,0,0,0
250-52 Ross Pk,-76.1462047,43.07677265,0,0,0
251 Shotwell Pk,-76.114917,43.06267235,0,25,0
251-53 Coolidge Ave & Sterling A,-76.16358006,43.03174359,0,0,0
253 Stafford Ave,-76.11232144,43.06444719,0,25,0
255-57 Kensington Pl,-76.11954798,43.02829047,0,0,0
257 Cloveridge Dr,-76.0929419,43.06525758,0,25,0
257 North Ave Rear,-76.11527787,43.07066915,0,75,0
257 Shotwell Pk,-76.11490488,43.0625382,0,0,0
257 Tennyson Ave,-76.18299901,43.04644346,0,0,0
259 Fobes Ave,-76.11213254,43.07296723,0,0,0
260 Ross Pk,-76.14647714,43.07696278,0,0,0
260 Shotwell Pk,-76.11603728,43.06219454,0,0,0
2601 Grant Blvd & Danforth St,-76.15251927,43.07419511,0,25,0
261 Nichols Ave,-76.10353434,43.06464074,0,25,0
261 Shotwell Pk,-76.11489246,43.06240076,0,0,0
264 Edwards Ave S,-76.10669099,43.06438229,0,55,0
265 Collingwood Ave S,-76.10718358,43.06435911,0,25,0
265 Shotwell Pk,-76.11487984,43.06226113,0,0,0
265 Whittier Ave,-76.18232937,43.04490283,0,0,0
268 Mosley Dr & Glencove Rd,-76.10159151,43.06441352,0,0,0
2686 Genesee St E & Scott Ave,-76.10941515,43.04317909,0,0,0
268-72 Furman St,-76.15341046,43.03082996,0,25,0
269 Collingwood Ave S,-76.10717367,43.0642496,0,25,0
2700 Lodi St & Lemoyne Ave,-76.16496682,43.06833208,0,25,0
273 Nichols Ave & Glencove Rd,-76.1035081,43.06431204,0,0,0
273-75 Collingwood Ave S & Glenc,-76.10716377,43.06414009,0,25,0
274 Ashdale Ave,-76.10875952,43.07270536,0,52,0
277 Shotwell Pk,-76.11479438,43.06175183,0,0,0
2821-23 Midland Ave,-76.14784689,43.01241141,0,0,0
2838 Genesee St E,-76.10636131,43.04233239,0,25,0
300 Brookford Rd & Hatherly R,-76.10349469,43.03845598,0,0,0
300 Summit Ave & Stolp Ave,-76.16691405,43.03009209,0,50,0
301 Alvord St S & Laurel St E,-76.14439327,43.06108346,0,0,0
301 Seward St & Alvord St S,-76.14321475,43.0609585,0,25,0
301 Washington St E & Market,-76.14854435,43.04992685,0,0,0
301 Willis Ave & Schuyler St,-76.19008491,43.04821297,0,25,0
301-03 Strathmore Dr & Stinard A,-76.17276253,43.02059638,0,0,0
3012-18 Genesee St E & Meadowbroo,-76.10014476,43.04226205,0,0,0
3020 Burnet Ave,-76.09505993,43.06027267,0,25,0
302-08 Marshall St,-76.1318361,43.04124053,0,0,0
302-4 1/2 Slocum Ave,-76.16070253,43.03959434,0,77,0
303 Kimber Rd,-76.09351137,43.03896001,0,25,0
303 Lowell Ave S,-76.18060742,43.04651024,0,0,0
304 Apple St,-76.17709845,43.05139606,0,54,0
304 Avery Ave,-76.19148929,43.04791467,0,0,0
304 Robineau Rd,-76.17142911,43.02153022,0,0,0
304 Summit Ave,-76.16689599,43.02963536,0,25,0
304-06 Tennyson Ave,-76.18382494,43.04662909,0,0,0
305 Brattle Rd,-76.12912902,43.06787345,0,0,0
305 Kimber Rd,-76.09349795,43.03881189,0,25,0
305 Lowell Ave S,-76.18055069,43.04642982,0,0,0
305 Strathmore Dr,-76.17285473,43.02040782,0,0,0
305 Willis Ave,-76.19014928,43.0483044,0,0,0
