ID,OBJECTID,SPAD_ID,STREETID,TAX_ID,PRINTKEY,LONGNAME,FIPMCD,FIPPLC,ST_NUMBER,ST_NAME,LU_CODE,Assets_within_Comm_Co_CODEA,Assets_within_Comm_Co_CODEB,Assets_within_Comm_Co_CombinedCode,CombinedCodeNumber,PRE,NAME,TYPE,SUFFIX,MCDNAME,ZIPCODE,NEWADD,LASTEDIT,GRP_NAME,SUITE,APT_ID,UNITS,NOTES,alias1,alias2,alias3,CNTY,AG1,AG2,AG3,FCODE,MUN,LOC_FLD2,Lon,Lat,Corridor,CODEAB_CODEA,CODEAB_CODEB,ENTITY,CODEAB_CombinedCode,Entity2,Entity_Category,GeneralCategories
80,5852,6066,12581075,3.115E+25,024.-04-13.0,EAST ROOM,73000,73000,2727,JAMES ST,425,425,0,42500,42500,,JAMES,ST,,SYRACUSE CITY,13206,4/17/2002,4/17/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.1076,43.0689,Eastwood James,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
88,5868,6086,12581077,3.115E+25,024.-15-01.0,TIP A FEW TAVERN,73000,73000,2802,JAMES ST,425,425,0,42500,42500,,JAMES,ST,,SYRACUSE CITY,13206,4/17/2002,3/17/2015,,,,0,Former MCNEILLYS PUB,,,,67,,,,GIS,SYR,,-76.1073,43.0687,Eastwood James,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
129,6123,6343,12579669,3.115E+25,033.-04-01.0,DJS ON THE BOULEVARD,73000,73000,3010,ERIE BLVD E,452,425,0,42500,42500,,ERIE,BLVD,E,SYRACUSE CITY,13224,4/28/2002,5/11/2012,ERIE PLACE,,,0,,,,,67,,,,GIS,SYR,,-76.0852,43.0552,Erie Blvd E,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
161,6367,6572,12578047,3.115E+25,030.-02-45.0,GUILFOYLES,73000,73000,501,BURNET AVE,483,425,0,42500,42500,,BURNET,AVE,,SYRACUSE CITY,13203,5/19/2002,5/19/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.139,43.0523,Burnet,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
202,6499,6719,12578802,3.115E+25,028.-11-27.0,SHIFTYS,73000,73000,1401,BURNET AVE,425,425,0,42500,42500,,BURNET,AVE,,SYRACUSE CITY,13206,6/5/2002,6/5/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.1192,43.0551,Burnet,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
219,6571,6790,12580304,3.115E+25,010.-05-15.0,CERIOS,73000,73000,1711,GRANT BLVD,425,425,0,42500,42500,,GRANT,BLVD,,SYRACUSE CITY,13208,6/9/2002,6/9/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.1396,43.0722,Grant Butternut Cir,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
221,6573,6792,12580291,3.115E+25,011.-10-34.0,CHANGE OF PACE,73000,73000,1802,GRANT BLVD,425,425,0,42500,42500,,GRANT,BLVD,,SYRACUSE CITY,13208,6/9/2002,6/9/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.1402,43.0723,Grant Butternut Cir,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
246,7751,7967,12577944,3.115E+25,017.-01-02.0,OC SPORTS BAR,73000,73000,317,N SALINA ST,482,425,0,42500,42500,N,SALINA,ST,,SYRACUSE CITY,13203,1/26/2003,12/29/2010,,,,0,,,,,67,,,,GIS,SYR,,-76.1524,43.0553,North Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
272,7803,8018,12580005,3.115E+25,008.-16-11.0,ALPINE LOUNGE,73000,73000,401,BUTTERNUT ST,482,425,1,42501,42501,,BUTTERNUT,ST,,SYRACUSE CITY,13208,1/26/2003,1/26/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1499,43.0588,Butternut,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
281,7823,8038,12580034,3.115E+25,016.-02-10.0,LA CANTINA,73000,73000,722,BUTTERNUT ST,425,425,0,42500,42500,,BUTTERNUT,ST,,SYRACUSE CITY,13208,1/26/2003,1/26/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1454,43.0608,Butternut,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
286,7835,8049,12580103,3.115E+25,009.-24-17.0,TOMMYS PARK,73000,73000,901,BUTTERNUT ST,425,425,0,42500,42500,,BUTTERNUT,ST,,SYRACUSE CITY,13208,1/6/2003,4/30/2010,,,,0,,,,,67,,,,GIS,SYR,,-76.1441,43.063,Butternut,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
292,7846,8060,12575125,3.115E+25,008.-10-08.0,FRANKLIN GRILL,73000,73000,605,N SALINA ST,482,425,0,42500,42500,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1525,43.0594,North Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
301,7855,8069,12575126,3.115E+25,008.-07-12.0,JIMMIES SALOON,73000,73000,709,N SALINA ST,481,425,0,42500,42500,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1535,43.0606,North Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
312,7867,8081,12575178,3.115E+25,007.-35-15.0,LEGENDS,73000,73000,917,N SALINA ST,421,425,0,42500,42500,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1557,43.0634,North Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
329,7887,8100,12575273,3.115E+25,007.-13-05.0,FANTASY NIGHTS,73000,73000,1201,N SALINA ST,482,425,1,42501,42501,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1582,43.0661,North Salina,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
344,7906,8117,12575222,3.115E+25,002.-24-15.0,LOOKERS,73000,73000,1400,N SALINA ST,421,425,1,42501,42501,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1607,43.0682,North Salina,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
355,7918,8130,12575200,3.115E+25,002.-13-07.0,NIGHT LIGHTS,73000,73000,1637,N SALINA ST,481,425,1,42501,42501,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,VALKYRIE CLUB,,,67,,,,GIS,SYR,,-76.1651,43.0697,North Salina,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
362,7926,8138,12575235,3.115E+25,002.-12-04.0,BADA BING,73000,73000,234,WOLF ST,481,425,1,42501,42501,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1647,43.0704,Wolf,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
375,7941,8153,12575481,3.115E+25,003.-01-14.0,FANTASY NIGHTS II,73000,73000,617,WOLF ST,424,425,1,42501,42501,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,,,,,0,,,,,67,,,,GIS,SYR,,-76.1614,43.0753,Wolf,425,1,BAR (X-RATED),42501,Bar (X-Rated),Alcohol Commercial,Commercial and Public Spaces
385,7952,8164,12575501,3.115E+25,003.-03-17.0,EASY RESTAURANT,73000,73000,801,WOLF ST,483,425,0,42500,42500,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.16,43.0771,Wolf,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
426,8352,8498,12573563,3.115E+25,106.-01-17.0,MOXY,73000,73000,600,N GEDDES ST,425,425,0,42500,42500,N,GEDDES,ST,,SYRACUSE CITY,13204,3/23/2003,2/19/2015,,,,0,,,,,67,,,,GIS,SYR,,-76.1702,43.055,Geddes Marcellus,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
429,8402,8544,12573468,3.115E+25,105.-09-24.0,CALCANOS TAVERN,73000,73000,136,N GEDDES ST,425,425,0,42500,42500,N,GEDDES,ST,,SYRACUSE CITY,13204,3/30/2003,11/7/2012,,,,0,Former Galloway's Pub,,,,67,,,,GIS,SYR,,-76.1705,43.0499,Geddes Marcellus,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
434,8441,8576,12573468,3.115E+25,109.-05-17.0,RAIN LOUNGE,73000,73000,103,N GEDDES ST,424,425,0,42500,42500,N,GEDDES,ST,,SYRACUSE CITY,13204,3/30/2003,12/10/2012,,,,0,Former Johhny Bs Jukebox,,,,67,,,,GIS,SYR,,-76.171,43.0487,Geddes Marcellus,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
470,8527,6578,12578242,3.115E+25,030.-04-15.0,REMYS,73000,73000,648,BURNET AVE,421,425,0,42500,42500,,BURNET,AVE,,SYRACUSE CITY,13203,5/15/2003,5/15/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1337,43.052,Burnet,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
484,8828,8935,12578176,3.115E+25,045.-01-28.0,TAPS BAR,73000,73000,515,WESTCOTT ST,425,425,0,42500,42500,,WESTCOTT,ST,,SYRACUSE CITY,13210,5/25/2003,5/25/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1192,43.041,Westcott,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
486,8830,8933,12578176,3.115E+25,045.-01-29.0,METRO,73000,73000,505,WESTCOTT ST,485,425,0,42500,42500,,WESTCOTT,ST,,SYRACUSE CITY,13210,5/25/2003,10/14/2008,,,,0,,,,,67,,,,GIS,SYR,,-76.1192,43.0413,Westcott,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
515,9888,9915,12573489,3.115E+25,109.-09-30.1,ROSIES SPORTS PUB,73000,73000,1443,W GENESEE ST,425,425,0,42500,42500,W,GENESEE,ST,,SYRACUSE CITY,13204,3/7/2004,8/9/2011,,,,0,,ROSIE OGRADYS,ROSIES,,67,,,,GIS,SYR,,-76.1826,43.0518,West Genesee,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
556,10329,10293,12577833,3.115E+25,103.-16-02.0,J RYANS PUB,73000,73000,253,E WATER ST,421,425,0,42500,42500,E,WATER,ST,,SYRACUSE CITY,13202,4/13/2004,12/27/2011,,,,0,,,,,67,,,,GIS,SYR,,-76.1497,43.0506,Erie Blvd E,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
563,10400,10369,13028428,3.115E+25,100.-12-09.0,SENECA GRILL,73000,73000,601,MARCELLUS ST,483,425,0,42500,42500,,MARCELLUS,ST,,SYRACUSE CITY,13204,6/27/2004,6/27/2004,,,,0,,,,,67,,,,GIS,SYR,,-76.1671,43.0456,Geddes Marcellus,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
657,10737,10691,12572069,3.115E+25,078.-16-23.0,SANDIS PLACE,73000,73000,1825,SOUTH AVE,483,425,0,42500,42500,,SOUTH,AVE,,SYRACUSE CITY,13207,7/17/2004,7/17/2004,,,,0,,,,,67,,,,GIS,SYR,,-76.1603,43.0195,South Ave,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
667,10750,10703,12572021,3.115E+25,079.-16-06.0,SWALLOWS RESTAURANT,73000,73000,1914,SOUTH AVE,425,425,0,42500,42500,,SOUTH,AVE,,SYRACUSE CITY,13207,7/17/2004,7/17/2004,,,,0,,,,,67,,,,GIS,SYR,,-76.1611,43.019,South Ave,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
696,10860,10809,12576608,3.115E+25,071.-18-19.0,THE GROOVE,73000,73000,4629,S SALINA ST,485,425,0,42500,42500,S,SALINA,ST,,SYRACUSE CITY,13205,8/8/2004,8/8/2004,,BAR,,0,,,,,67,,,,GIS,SYR,,-76.1427,43.0019,Southside Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
709,10873,10823,12576609,3.115E+25,071.-20-09.0,PFOHLS TAVERN,73000,73000,4604,S SALINA ST,425,425,0,42500,42500,S,SALINA,ST,,SYRACUSE CITY,13205,8/8/2004,8/8/2004,,,,0,,,,,67,,,,GIS,SYR,,-76.143,43.0028,Southside Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
1964,129841,14618,12575125,3.115E+25,008.-11-24.0,VENUE 658,73000,73000,658,N SALINA ST,481,425,0,42500,42500,N,SALINA,ST,,SYRACUSE CITY,13208,12/22/2010,,,,,0,,,,,67,,,,GIS,SYR,,-76.1529,43.0605,North Salina,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
346,7908,8119,12575222,3.115E+25,002.-24-22.0,SALINA LIQUOR & WINE,73000,73000,1428,N SALINA ST,483,459,3,45903,45903,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,DOTTERERS LIQUORS,,,67,,,,GIS,SYR,,-76.1617,43.0685,North Salina,459,3,LIQUOR STORE,45903,Liquor Store,Alcohol Commercial,Commercial and Public Spaces
481,8825,8929,12578686,3.115E+25,037.-22-30.1,WESTCOTT LIQUORS,73000,73000,111,HARVARD PL,485,459,3,45903,45903,,HARVARD,PL,,SYRACUSE CITY,13210,5/23/2008,12/18/2012,,,,0,Previously Vinnies Liquors,,,,67,,,,GIS,SYR,,-76.1189,43.0416,Westcott,459,3,LIQUOR STORE,45903,Liquor Store,Alcohol Commercial,Commercial and Public Spaces
724,10895,10848,12576640,3.115E+25,072.-10-15.0,KRAFT LIQUOR,73000,73000,4200,S SALINA ST,484,459,3,45903,45903,S,SALINA,ST,,SYRACUSE CITY,13205,8/8/2004,8/8/2004,,KRAFT,,0,,,,,67,,,,GIS,SYR,,-76.1431,43.0079,Southside Salina,459,3,LIQUOR STORE,45903,Liquor Store,Alcohol Commercial,Commercial and Public Spaces
790,11057,11011,12577241,3.115E+25,084.-23-22.0,BLACK LICOR,73000,73000,2032,S SALINA ST,482,459,3,45903,45903,S,SALINA,ST,,SYRACUSE CITY,13205,8/29/2004,3/16/2012,,,,0,,BLACK LIQUOR,,,67,,,,GIS,SYR,,-76.1458,43.0263,Southside Salina,459,3,LIQUOR STORE,45903,Liquor Store,Alcohol Commercial,Commercial and Public Spaces
341,7900,8112,12575213,3.115E+25,002.-25-21.0,AUTO FINDER,73000,73000,2524,LODI ST,432,431,2,43102,43102,,LODI,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1626,43.0677,Lodi State,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
350,7912,8124,12575221,3.115E+25,002.-16-18.3,BOBS AUTO,73000,73000,1500,N SALINA ST,455,431,2,43102,43102,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1624,43.0689,North Salina,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
356,7919,8131,12575200,3.115E+25,002.-12-24.0,SYRACUSE MOTOR CAR,73000,73000,1626,N SALINA ST,484,431,2,43102,43102,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1645,43.0697,North Salina,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
358,7921,8133,12575231,3.115E+25,002.-01-01.0,FIRST CLASS AUTO,73000,73000,1801,N SALINA ST,432,431,2,43102,43102,N,SALINA,ST,,SYRACUSE CITY,13208,2/1/2003,1/14/2013,,,,0,,,,,67,,,,GIS,SYR,,-76.1667,43.0701,Lodi State,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
368,7934,8146,12575263,3.115E+25,002.-08-04.0,SPECIAL INTEREST AUTO,73000,73000,412,WOLF ST,484,431,2,43102,43102,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.163,43.0726,Wolf,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
372,7938,8150,12575481,3.115E+25,003.-13-07.0,USED CAR LOT,73000,73000,626,WOLF ST,330,431,2,43102,43102,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1608,43.0754,Wolf,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
380,7947,8159,12575483,3.115E+25,003.-12-05.0,JUDYS AUTO SALES,73000,73000,726,WOLF ST,431,431,2,43102,43102,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1599,43.0766,Wolf,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
386,7953,8165,12575531,3.115E+25,003.-04-.3.0,RICHARDS MOTORS,73000,73000,901,WOLF ST,431,431,2,43102,43102,,WOLF,ST,,SYRACUSE CITY,13208,2/1/2003,2/1/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1591,43.0786,Wolf,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
410,8333,8478,12573791,3.115E+25,106.-07-07.1,INFINITI OF SYRACUSE,73000,73000,736,W GENESEE ST,431,431,0,43100,43100,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,3/23/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1646,43.0537,West Genesee,431,0,AUTO DEALERSHIP,43100,Auto Dealership,Auto Commercial,Commercial and Public Spaces
413,8336,8481,12573791,3.115E+25,106.-07-10.0,J&J AUTOMOTIVE,73000,73000,766,W GENESEE ST,431,431,2,43102,43102,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,3/23/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1658,43.0537,West Genesee,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
414,8337,8482,12573791,3.115E+25,106.-11-05.2,CREST CADILLAC,73000,73000,717,W GENESEE ST,431,431,0,43100,43100,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,3/23/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1639,43.0533,West Genesee,431,0,AUTO DEALERSHIP,43100,Auto Dealership,Auto Commercial,Commercial and Public Spaces
415,8338,8483,12573791,3.115E+25,106.-11-05.2,CREST ACCURA,73000,73000,737,W GENESEE ST,431,431,0,43100,43100,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,3/23/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1647,43.0533,West Genesee,431,0,AUTO DEALERSHIP,43100,Auto Dealership,Auto Commercial,Commercial and Public Spaces
418,8341,8486,12573791,3.115E+25,106.-11-01.0,J&J AUTO SALES,73000,73000,767,W GENESEE ST,438,431,2,43102,43102,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,3/23/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1657,43.0532,West Genesee,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
419,8342,8487,12573787,3.115E+25,106.-10-07.0,KOERNER FORD,73000,73000,805,W GENESEE ST,431,431,0,43100,43100,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,,,,,0,,,,,67,,,,GIS,SYR,,-76.167,43.0533,West Genesee,431,0,AUTO DEALERSHIP,43100,Auto Dealership,Auto Commercial,Commercial and Public Spaces
425,8351,8496,12573562,3.115E+25,106.-09-17.1,LAMACCHIA HONDA,73000,73000,932,W GENESEE ST,431,431,0,43100,43100,W,GENESEE,ST,,SYRACUSE CITY,13204,3/23/2003,,,,,0,,,,,67,,,,GIS,SYR,,-76.1696,43.054,West Genesee,431,0,AUTO DEALERSHIP,43100,Auto Dealership,Auto Commercial,Commercial and Public Spaces
433,8423,8565,12573466,3.115E+25,109.-09-18.0,THAYER AUTOWORLD,73000,73000,801,ERIE BLVD W,484,431,2,43102,43102,,ERIE,BLVD,W,SYRACUSE CITY,13204,3/30/2003,3/30/2003,,,,0,,,,,67,,,,GIS,SYR,,-76.1711,43.0476,Geddes Marcellus,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
451,8484,8623,12573546,3.115E+25,108.2-01-18.1,AUTO SOLUTION,73000,73000,1120,W GENESEE ST,431,431,2,43102,43102,W,GENESEE,ST,,SYRACUSE CITY,13204,4/12/2003,1/10/2011,,,,0,,,,,67,,,,GIS,SYR,,-76.1747,43.0538,West Genesee,431,2,USED CAR ONLY,43102,Used Car Only,Auto Commercial,Commercial and Public Spaces
458,8491,8632,12573532,3.115E+25,108.2-06-05.0,1207 BLDG,73000,73000,1207,W GENESEE ST,433,431,1,43101,43101,W,GENESEE,ST,,SYRACUSE CITY,13204,4/12/2003,1/16/2014,,,,0,PREVIOUSLY ENTERPRISE RENT A CAR,,,,67,,,,GIS,SYR,,-76.1757,43.0532,West Genesee,431,1,AUTO RENTAL,43101,Auto Rental,Auto Commercial,Commercial and Public Spaces
