Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
Basilica of Sacred Heart Food Pantry,31150010900000010060000000,31150010900000010060000000,1001 Park Avenue,,Syracuse,Onondaga,NY,13204,"Tuesday, 4:30 PM - 6:30 PM",,,,,,,,,,,,,,,315-492-9325,,,www.sacredheartbasilicasyr.org/,,<p> Provides a food pantry for individuals in need.</p>,Immediate neighborhood; Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Residents of Onondaga County residing within pantry boundaries; call pantry or Interreligious Food Consortium at 315-474-8855 for information,,501(c)(3),Faith-based,,Limited accessibility; call for details,None,Walk-in,"Proof of residency, proof of all members of the household",Food Pantries; Volunteer Opportunities;,NY - Onondaga County - Syracuse - 13204;,-76.18059904,43.05168373
Syracuse Academy of Science Charter School,31150010900000010060000000,31150010900000010060000000,1001 Park Avenue,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 8 AM - 4 PMElementary school hours: Monday - Friday, 8 AM - 3:25 PMMiddle school hours: Monday - Friday, 8:15 AM - 3:26 PMHigh school hours: Monday - Friday, 8 AM - 3:32 PM",315-469-9404,Elementary School,315-487-5986,Middle School,315-428-8997,High School,,,,,315-428-9109,,,,315-428-8997,,info@sascs.org,http://sascs.org/,,"Provides a public, tuition-free, science charter school education for students in Kindergarten - 12th grades.",Onondaga County,,Children in Kindergarten through 12th grade,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,None,Apply online or in person,Application paperwork,Charter Schools;,NY - Onondaga County;,-76.18059904,43.05168373
Onondaga County Water Authority,31150011400000020160000000,31150011400000020160000000,200 Northern Concourse,,Syracuse,Onondaga,NY,13212,"Monday - Friday, 8 AM - 4:30 PMEmergency Answering service available 24 Hours / 7 Days",315-455-7061 x3335,Customer Service,315-455-7061,"After-hours & weekends, Emergency Answering Service",877-768-8266,To Pay Bill by Phone,315-455-6578,Fax,,,,,,,,,,www.ocwa.org/,,Supplies water to the residents and business in the Central New York Region.,"Onondaga County and parts of Cayuga, Madison, Oneida, and Oswego counties",,"Residents in Onondaga County and parts of Cayuga, Madison, Oneida, and Oswego counties",,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,"Water rates vary depending on residential, commercial, industrial, municipal, or fire protection service needs; call for details",Call or go online for information and services,None,Water Connection Permits; Water Quality Information/Reporting; Water Quality Monitoring; Water Service Connection/Repair; Water Service Providers; Water Supply System;,NY - Onondaga County; NY - Oneida County; NY - Oswego County; NY - Madison County;,-76.17929435,43.06316107
Onondaga County Department of Water Environment Protection (WEP),31150011400000020160000000,31150011400000020160000000,650 Hiawatha Boulevard West,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 4 PM",315-435-2260,Business Line,315-435-3157,Sewer Service Requests,315-435-5425,Plumbing Control,,,,,,,,,,,,www.ongov.net/wep,,"Protects and improves the water environment of Onondaga County with wastewater treatment, storm water management, and other green programs including a tree planting program and a free rain barrel program for city residents in eligible areas. Also maintains the sewer system for all of Onondaga County outside of the City of Syracuse, Baldwinsville, and North Syracuse (for residents of those three areas contact their respective Department of Public Works).",Onondaga County,,Onondaga County residents,,None or unknown,Government - County,,Limited Accessibility; call for details,,,,,NY - Onondaga County;,-76.17929435,43.06316107
ARC of Onondaga,31150009800200010040000000,31150009800200010040000000,600 South Wilbur Avenue,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,315-476-7446,,,,315-476-7441,,webinfo@arcon.org,www.arcon.org,nonprofit,"<p> Offers a wide range of comprehensive, community- based, professional services to children and adults with mental retardation/ developmental disabilities and their families. Provides a broad array of services including children's services, day treatment programs and recreation, residential, and employment options.<br /> <br /> =====================================<br /> Onondaga Co. NYSARC, Onondaga County NYSARC</p>",Onondaga County,,Individuals with developmental disabilities residing in Onondaga County and their families,,501(c)(3),Nonprofit - Incorporated,"Onondaga County, New York State, Medicaid",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.17681122,43.0438921
Prevention Network,31150010700000010020010000,31150010700000010020010000,906 Spencer Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,315-471-3255,,,,315-471-1359,,,www.preventionnetworkcny.org,"Private, Nonprofit","Implements and supports strategies to promote healthy choices that prevent addictions and address related concerns.<br /><br />================================<br />OCAA, Onondaga Council on Alcoholism/Addictions, Onondaga Council on Alcoholism / Addictions",Onondaga County,,Onondaga County residents,,501(c)(3),Nonprofit - Unincorporated,"NYS Office of Alcoholism and Substance Abuse Services, Onondaga County Government, Grants and Contracts, Self-Generated Revenues",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.17431654,43.05780512
Winds of Agape (WOA),31150010900000060080000000,31150010900000060080000000,1414 Grant Boulevard,,Syracuse,Onondaga,NY,13208,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,315-295-0264,,,,315-425-0547,,windsofagape02@yahoo.com,www.windsofagape.com/,"Private, Nonprofit",Provides services to families in crisis to help meet both emotional and concrete needs.,Onondaga County,,,,501(c)(3),Nonprofit - Incorporated,"Donations, yard sales, contracts, vouchers",Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.17367681,43.04978011
EnMotion,31150010700000020150010000,31150010700000020150010000,522 Liberty Street,,Syracuse,Onondaga,NY,13204,"Meets second Tuesday of every month, April through December (except August), 6 PM - 8 PM",,,,,,,,,,,,,,,315-218-6706,,,,,Provides a support group for amputees in Central New York.,Onondaga and Oswego counties,,Anyone with an amputation and their support system,,501(c)(3),Voluntary association,,Fully Accessible,"None to all amputees, their families and friends",Call for meeting information,None,Health/Disability Related Support Groups;,NY - Oswego County; NY - Onondaga County;,-76.17351575,43.05784441
"Home Aides of Central New York, Inc",31150010800200040160000000,31150010800200040160000000,1050 West Genesee Street,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 8 AM - 4:30 PM Homecare services provided: 24 Hours / 7 Days",,,,,,,,,,,315-476-7252,,,,315-476-4295,,info@homeaidescny.org,www.homeaidescny.org,"Private, Nonprofit","Provides home care services such as RN assessments, home health aides, personal care aides, companions/homemakers, family respite care, caregiver referrals, and home health aide training.<br /><br />====================<br />Home Aides of CNY, Home Aids of CNY, Home Aids of Central New York","Madison, Onondaga, and Oswego counties",,Onondaga County residents,New York State Licensed Home Care Agency,Commercial,Commercial,"Private Pay Fees for Service, Medicaid Personal Care Program, Grants from NYS Office of the Aging, grants from Onondaga County Dept. for Aging & Youth, as well as contracts with other health care organizations",Fully Accessible,Call for fee information,,,,NY - Oswego County; NY - Onondaga County; NY - Madison County;,-76.17281003,43.05437898
VNA Homecare,31150010800200040160000000,31150010800200040160000000,1050 West Genesee Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 4:30 PM",,,,,,,,,,,315-477-9290,,,,315-477-4663,,info@477HOME.org,www.477HOME.org,"Private, Nonprofit","Provides a broad spectrum of medical and non-medical in-home services for all stages of life, including prenatal care, care for young families, rehabilitation, long-term, and end-of-life care. Provides comprehensive care management, non-medical services, and patient education.<br /><br />===============================================<br />Visiting Nurse Association of CNY, Inc, VNA, Visiting Nurse Association of Central New York, Inc","Cayuga, Jefferson, Oneida, Onondaga, and Oswego counties",,Onondaga County residents,,Commercial,Commercial,"Medicare, Medicaid, Private Insurance, Private Pay",Fully Accessible,Varies; call for information,Call for information and services,Call for required documentation,,NY - Cayuga County; NY - Jefferson County; NY - Onondaga County; NY - Oneida County; NY - Oswego County;,-76.17281003,43.05437898
Most Holy Rosary Food Pantry,31150008700000020100000000,31150008700000020100000000,111 Roberts Avenue,,Syracuse,Onondaga,NY,13207,"Third and fourth Thursday of every month, 9:30 AM - 11 AM",,,,,,,,,,,,,,,315-478-5749,,,http://mhrsyracuse.org/our-parish/outreach-and-support/,,Provides a food pantry for individuals in need.,Onondaga County,,Residents of Onondaga County residing within pantry boundaries; call pantry or Interreligious Food Consortium at 315-474-8855 for information,,501(c)(3),Faith-based,,Fully Accessible,None,Walk in intakes conducted,Picture ID and proof of address,Food Pantries;,NY - Onondaga County;,-76.17278858,43.03197405
Saint Paul's Food Pantry,31150009700000140260000000,31150009700000140260000000,228 Davis Street,,Syracuse,Onondaga,NY,13204,"Tuesday, 4:30 PM - 5:30 PM; Wednesday and Friday, 10 AM - 12 Noon",315-474-8855,Interreligious Food Consortium,,,,,,,,,,,,,,,info@luthermemorialns.org,http://luthermemorialns.org/,,"Provides a food pantry for individuals in need.<br /><br />=====================================<br />St. Paul's Food Pantry, Saint Paul's Lutheran Church Food Pantry, St. Paul's Lutheran Church Food Pantry, Brown Memorial Food Pantry",Syracuse Westside; Call Interreligious Food Consortium at 315-474-8855 to determine if within service boundaries,,Residents of Onondaga County residing within pantry boundaries; call pantry or Interreligious Food Consortium at 315-474-8855 for information,,501(c)(3),Faith-based,,Fully Accessible,None,Walk-in; no public phone number available,"Picture ID for all members of the household, current proof of residency (last 30-60 days)",Food Pantries;,NY - Onondaga County - Syr - 13204; NY - Onondaga County - Syracuse - 13204;,-76.17247863,43.03927116
Most Holy Rosary School (MHR),31150008700000030010000000,31150008700000030010000000,1031 Bellevue Avenue,,Syracuse,Onondaga,NY,13207,"Monday - Friday, 8 AM - 2:35 PM",,,,,,,,,,,315-476-0219,,,,315-476-6035,,mhr@syrdiocese.org,www.mhrsyr.org/,,"<span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>Provides a grade system of learning in a private Catholic school setting from Pre-Kindergarten through 6th grade.</span>",Onondaga County,,Children in grades Pre-Kindergarten through 6th,,501(c)(3),Nonprofit - Unincorporated,Tuition;,Limited accessibility; call for details,Call for tuition information,"Call, walk-in, or go online to apply","Birth certificate, immunization records, copy of IEP or 504 plan (if applicable)",Parochial Elementary Schools; Parochial Preschools; Volunteer Opportunities;,NY - Onondaga County;,-76.17167321,43.03219428
Exodus 3 Ministries,31150010000000130350000000,31150010000000130350000000,305 North Geddes Street,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 9 AM - 5 PMResidential services: 24 Hours / 7 Days",,,,,,,,,,,315-299-7155,,,,315-299-7153,,info@exodus3ministries.org,www.exodus3ministries.org,"Private, Nonprofit","<p> Provides faith-based, short term emergency housing, resources to establish transitional or permanent housing, and other services for women and children. Exodus House provides shelter, clothes, food, and basic necessities for up to one year and accommodates seven women at a time. The Ministry provides spiritual counseling, emotional support, and practical education for families in the community.<br /> <br /> ==========================<br /> Exodus Three Ministries</p>",Onondaga County,,Women and children within Onondaga County,,501(c)(3),Nonprofit - Incorporated,Private Donations,Limited accessibility; call for details,None,Phone intake and follow-up interview if appropriate,No documentation initially required,Volunteer Opportunities;,NY - Onondaga County;,-76.17083476,43.04439219
Empire Housing and Development Corporation,31150010500000010020000000,31150010500000010020000000,643 Park Avenue,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 9 AM - 5 PM",,,,,,,,,,,315-472-9491,,,,315-425-7775,,empirehousing@choiceonemail.com,www.empirehousing.org,,"Provides affordable housing for income eligible households and fosters community revitalization in the City of Syracuse and around New York State.<br /><br />=============================<br />Low Income Housing, Low-Income Housing, Neighborhood Revitalization","Broome, Chenango, Cortland, and Onondaga counties",,"Low-income residents of Broome, Chenango, Cortland, and Onondaga counties",,501(c)(3),Nonprofit - Incorporated,,Office is Fully Accessible,None,,,,NY - Broome County; NY - Chenango County; NY - Cortland County; NY - Onondaga County;,-76.17052392,43.05160915
Alzheimer's Association Central New York Chapter,31150010700000050020000000,31150010700000050020000000,441 West Kirkpatrick Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 4:30 PMHelpline available 24 Hours / 7 Days",315-472-4201,Syracuse Area,315-621-4025,Potsdam Area,315-782-8755,Watertown Area,315-596-4016,Oswego Area,,,315-472-4202,,,800-272-3900,,,cny-info@alz.org,www.alz.org/cny,"Private, Nonprofit","<p> Provides information about Alzheimer's disease and dementia, and assists family caregivers by providing our core services: information and referral, education, care consultation, support groups and safe return. The chapter also operates the county's only dementia-specific adult day program.<br /> <br /> ====================================<br /> Alzheimers Association Central New York Chapter, Alzheimers' Association Central New York Chapter, Alzheimer's Association CNY Chapter, Alzheimers Association CNY Chapter, Alzheimers' Association CNY Chapter</p>","Broome, Cayuga, Chenango, Cortland, Herkimer, Jefferson, Lewis, Madison, Oneida, Onondaga, Oswego, Saint Lawrence, Tioga, and Tompkins counties",,,,501(c)(3),Nonprofit - Incorporated,"Contributions, Public and Private Grants, Service Fees, Special Events",Fully Accessible,None,Call or walk-in for information and services,None,Volunteer Opportunities;,NY - Onondaga County; NY - Oswego County; NY - Herkimer County; NY - Lewis County; NY - Jefferson County; NY - Tompkins County; NY - Tioga County; NY - Saint Lawrence County; NY - Oneida County; NY - Cortland County; NY - Broome County; NY - Madison Count,-76.16823872,43.05768054
AMR of Central New York,31150010500000090100000000,31150010500000090100000000,101 Richmond Avenue,,Syracuse,Onondaga,NY,13204,24 Hours / 7 Days,,,,,,,,,,,315-701-7045,,,,315-471-0102,,contact@rmetro.com,www.ruralmetro.com/,"Private, for Profit","Provides emergency medical services, pre-hospital care, and transportation to a hospital facility as part of a coordinated EMS system. Provides EMT, First Aid, CPR, First Responder, Public Access Defibrillators, and OSHA compliance education and training to the community.<br /><br />============================================<br />Rural Metro Medical Services of Central New York, Rural/Metro Medical Services of Central New York, Rural / Metro Medical Services of CNY, Rural Metro Medical Services of CNY, Rural/Metro Medical Services of CNY, <span style=color: rgb(0, 0, 0); font-family: Verdana, Arial, Helvetica, sans-serif; font-size: 10.6667px;>Rural / Metro Medical Services of Central New York, AMR of CNY</span>","Cayuga, Herkimer, Montgomery, Onondaga, and Schoharie counties, and the Town of Sullivan (Madison County)",,"Individuals in Cayuga, Herkimer, Montgomery, Onondaga, and Schoharie counties, as well as the Town of Sullivan in Madison County",,Commercial,Commercial,Fees,Fully Accessible,Call for fee information,Call 911 for emergencies or non-emergency number for services and information,None,Air Ambulance Services; Ambulance Services; Paramedic/EMT Services; General First Aid Instruction; CPR Instruction; Automated External Defibrillator Training;,NY - Cayuga County; NY - Herkimer County; NY - Montgomery County; NY - Onondaga County; NY - Schoharie County; NY - Madison County - Sullivan - 13037;,-76.16712403,43.04951346
Greyhound Bus Station,31150000100200020020000000,31150000100200020020000000,1 Walsh Circle,Suite 30,Syracuse,Onondaga,NY,13208,24 Hours / 7 Days,315-472-5338,Syracuse Station,800-231-2222,Fare and Schedule Information,,,,,,,,800-345-3109,,,,,ifsr@greyhound.com,www.Greyhound.com,,Provides bus transportation.,"Jefferson, Lewis, Onondaga, Oswego, and Saint Lawrence counties",,No restrictions,,Commercial,Commercial,,Fully Accessible,Fee for service,Call or visit website to book a ticket,Call for information,Long Distance Transportation;,NY - Saint Lawrence County; NY - Oswego County; NY - Onondaga County; NY - Lewis County; NY - Jefferson County;,-76.16504089,43.07836357
New York State Department of Environmental Conservation (DEC) Region 7,31150010500000130110000000,31150010500000130110000000,615 Erie Boulevard West,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 8:30 AM - 4:45 PMService hours may vary; call for details",,,,,,,,,,,315-426-7408,,,,315-426-7400,,Info.R7@dec.ny.gov,www.dec.ny.gov,,"Funds, manages, and oversees all state programs designated to protect and enhance the environment including air resources, environmental permits, environmental remediation, fisheries, forest rangers, forestry, law enforcement of environmental conservation law, materials management, real property services, water and wastewater, and wildlife information and education. Region 7 covers Central New York, including Broome, Cayuga, Chenango, Cortland, Madison, Onondaga, Oswego, Tioga and Tompkins counties.<br /><br />=================================<br />NYS DEC Region 7, NYSDEC Region 7, Central New York Region DEC","Broome, Cayuga, Chenango, Cortland, Madison, Onondaga, Oswego, Tioga, and Tompkins counties",,"Individuals in Broome, Cayuga, Chenango, Cortland, Madison, Onondaga, Oswego, Tioga and Tompkins counties",,None or unknown,Government - State,,Most locations Fully Accessible; call for details,None,Call or go online for information and services,No documentation initially required,Agricultural Pollution Prevention/Mitigation Assistance; Fishing Licenses; Hunting Licenses; Park Ranger Service; Bird Protection/Conservation; Land Conservation; Marine Conservation; Plant Conservation; Fishery Conservation/Management; Wild Animal Preservation/Protection; Adopt An Environmental Cause; Air Pollution Control/Fuel Efficiency Incentives Programs; Climate Change Prevention Programs; Industrial Pollution Control; Ocean Pollution Control; Wastewater Regulation/Monitoring; Hazardous Spill Cleanup; Hazardous Waste Site Cleanup; Oil Spill Cleanup; Environmental Hazards Information; Environmental Hazards Reporting; Boating Safety Education; Hiking/Camping Safety Education; Hunting Safety Education; Wildlife Safety Education; Environmental Impact Report Preparation; Information and Referral; Information and Referral; Information and Referral; Information and Referral; Information and Referral; Information and Referral; Information and Referral; Information and Referral; Information and Referral;,NY - Broome County; NY - Cayuga County; NY - Chenango County; NY - Cortland County; NY - Madison County; NY - Onondaga County; NY - Oswego County; NY - Tioga County; NY - Tompkins County;,-76.16494861,43.04818438
